id,answer
1,c
2,e
3,d
4,e
5,d
6,b
7,c
8,c
9,c
10,a
11,c
12,b
13,d
14,b
15,b
16,c
17,b
18,a
19,c
20,e
21,d
22,c
23,e
24,c
25,d
26,b
27,b
28,c
29,c
30,d
31,d
32,c
33,b
34,b
35,d
36,a
37,a
38,d
39,b
40,a
41,d
42,c
43,b
44,d
45,a
46,c
47,e
48,c
49,e
50,c
51,e
52,e
53,c
54,e
55,e
56,d
57,c
58,d
59,b
60,e
61,a
62,b
63,e
64,e
65,a
66,e
67,a
68,c
69,c
70,a
71,b
72,e
73,e
74,a
75,e
76,e
77,e
78,a
79,d
80,e
81,a
82,e
83,e
84,b
85,b
86,b
87,a
88,e
89,a
90,d
91,c
92,d
93,d
94,a
95,b
96,b
97,e
98,d
99,c
100,d
101,c
102,e
103,a
104,a
105,c
106,c
107,d
108,b
109,b
110,c
111,a
112,d
113,c
114,c
115,e
116,d
117,e
118,e
119,b
120,b
121,e
122,b
123,d
124,a
125,a
126,b
127,c
128,e
129,a
130,b
131,b
132,a
133,a
134,d
135,d
136,a
137,e
138,a
139,a
140,b
141,c
142,e
143,e
144,d
145,e
146,a
147,b
148,b
149,c
150,a
151,b
152,a
153,e
154,d
155,b
156,c
157,d
158,d
159,c
160,c
161,a
162,a
163,d
164,d
165,b
166,b
167,b
168,c
169,b
170,c
171,c
172,e
173,a
174,d
175,a
176,e
177,c
178,c
179,c
180,e
181,a
182,a
183,b
184,c
185,a
186,d
187,d
188,c
189,d
190,a
191,e
192,b
193,d
194,b
195,d
196,c
197,a
198,e
199,a
200,a
201,b
202,a
203,a
204,a
205,a
206,b
207,e
208,b
209,c
210,e
211,a
212,e
213,e
214,e
215,c
216,e
217,d
218,e
219,e
220,d
221,c
222,c
223,c
224,c
225,e
226,c
227,c
228,c
229,b
230,e
231,a
232,d
233,d
234,a
235,a
236,a
237,a
238,a
239,b
240,b
241,a
242,e
243,e
244,c
245,d
246,e
247,b
248,c
249,c
250,e
251,d
252,a
253,d
254,c
255,a
256,d
257,c
258,e
259,a
260,c
261,a
262,c
263,b
264,b
265,c
266,b
267,c
268,d
269,c
270,e
271,c
272,d
273,e
274,a
275,b
276,b
277,a
278,d
279,b
280,a
281,e
282,d
283,a
284,e
285,a
286,c
287,e
288,d
289,b
290,b
291,d
292,e
293,b
294,b
295,c
296,b
297,a
298,b
299,c
300,a
301,a
302,a
303,d
304,b
305,c
306,a
307,a
308,a
309,e
310,a
311,d
312,a
313,d
314,e
315,c
316,e
317,c
318,a
319,e
320,a
321,c
322,d
323,b
324,b
325,d
326,c
327,b
328,e
329,e
330,d
331,d
332,e
333,b
334,a
335,e
336,c
337,d
338,d
339,e
340,d
341,b
342,a
343,e
344,b
345,c
346,b
347,a
348,e
349,e
350,b
351,e
352,a
353,b
354,e
355,b
356,c
357,b
358,b
359,c
360,b
361,e
362,a
363,d
364,c
365,c
366,c
367,b
368,a
369,b
370,a
371,a
372,d
373,e
374,a
375,d
376,b
377,a
378,b
379,c
380,e
381,b
382,e
383,a
384,d
385,a
386,d
387,a
388,e
389,c
390,a
391,d
392,b
393,b
394,d
395,b
396,e
397,a
398,e
399,c
400,a
401,a
402,a
403,d
404,b
405,a
406,a
407,c
408,c
409,c
410,a
411,a
412,b
413,e
414,b
415,e
416,c
417,d
418,c
419,c
420,d
421,d
422,c
423,b
424,c
425,d
426,c
427,d
428,e
429,e
430,d
431,c
432,b
433,a
434,e
435,d
436,a
437,c
438,d
439,c
440,a
441,d
442,e
443,a
444,a
445,b
446,e
447,d
448,b
449,a
450,b
451,e
452,a
453,e
454,c
455,c
456,c
457,e
458,b
459,c
460,e
461,d
462,d
463,b
464,d
465,d
466,e
467,a
468,d
469,a
470,d
471,d
472,a
473,e
474,d
475,e
476,e
477,c
478,e
479,a
480,c
481,b
482,d
483,c
484,d
485,a
486,e
487,e
488,d
489,d
490,d
491,e
492,e
493,e
494,d
495,c
496,e
497,b
498,a
499,c
500,e
501,d
502,d
503,a
504,c
505,d
506,e
507,b
508,b
509,e
510,e
511,d
512,c
513,c
514,b
515,e
516,b
517,e
518,a
519,c
520,e
521,a
522,a
523,b
524,e
525,b
526,d
527,a
528,e
529,b
530,c
531,b
532,c
533,a
534,b
535,d
536,c
537,b
538,b
539,b
540,b
541,c
542,c
543,b
544,d
545,a
546,a
547,e
548,e
549,b
550,a
551,d
552,c
553,c
554,d
555,a
556,c
557,e
558,c
559,d
560,b
561,b
562,e
563,c
564,e
565,c
566,d
567,e
568,c
569,b
570,b
571,a
572,e
573,a
574,d
575,d
576,b
577,a
578,c
579,d
580,c
581,a
582,b
583,b
584,e
585,d
586,c
587,a
588,c
589,b
590,e
591,c
592,e
593,b
594,d
595,a
596,e
597,c
598,e
599,e
600,b
601,b
602,e
603,d
604,a
605,e
606,d
607,b
608,a
609,c
610,e
611,e
612,b
613,c
614,a
615,d
616,a
617,d
618,c
619,d
620,a
621,d
622,e
623,a
624,c
625,b
626,e
627,a
628,b
629,e
630,a
631,d
632,b
633,c
634,e
635,c
636,d
637,b
638,c
639,b
640,b
641,b
642,c
643,b
644,e
645,d
646,c
647,a
648,d
649,c
650,b
651,d
652,c
653,a
654,b
655,b
656,c
657,d
658,a
659,b
660,c
661,e
662,b
663,c
664,b
665,c
666,e
667,b
668,c
669,d
670,c
671,a
672,b
673,a
674,c
675,c
676,e
677,d
678,a
679,e
680,b
681,e
682,a
683,d
684,c
685,e
686,d
687,d
688,c
689,b
690,c
691,a
692,e
693,a
694,c
695,e
696,a
697,c
698,e
699,d
700,a
701,b
702,c
703,e
704,b
705,b
706,b
707,b
708,b
709,d
710,c
711,b
712,e
713,c
714,a
715,d
716,d
717,e
718,e
719,a
720,d
721,c
722,e
723,a
724,a
725,a
726,b
727,c
728,a
729,d
730,d
731,e
732,b
733,d
734,d
735,c
736,d
737,e
738,a
739,e
740,a
741,c
742,c
743,e
744,b
745,d
746,b
747,c
748,d
749,c
750,e
751,b
752,e
753,c
754,e
755,e
756,a
757,b
758,b
759,e
760,a
761,c
762,e
763,e
764,e
765,e
766,e
767,a
768,c
769,b
770,a
771,e
772,c
773,d
774,c
775,e
776,c
777,e
778,d
779,b
780,d
781,e
782,b
783,b
784,b
785,c
786,d
787,c
788,c
789,e
790,e
791,c
792,d
793,c
794,b
795,c
796,b
797,c
798,e
799,e
800,e
801,d
802,a
803,d
804,d
805,b
806,a
807,a
808,c
809,a
810,e
811,d
812,d
813,e
814,b
815,b
816,d
817,d
818,a
819,d
820,b
821,c
822,a
823,e
824,c
825,a
826,b
827,e
828,a
829,b
830,a
831,c
832,e
833,a
834,d
835,e
836,c
837,e
838,a
839,a
840,d
841,c
842,d
843,d
844,d
845,b
846,e
847,e
848,b
849,d
850,d
851,c
852,c
853,a
854,b
855,b
856,c
857,b
858,c
859,e
860,a
861,a
862,d
863,e
864,a
865,d
866,d
867,e
868,e
869,c
870,c
871,d
872,d
873,c
874,d
875,d
876,e
877,d
878,c
879,a
